Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Guadalquivir;NO;El Portillo;Castril;33;28;0;0;0;
2018;7;Guadalquivir;NO;Fernandina, La;Guarrizas;245;77;0;0;0;
2018;7;Guadalquivir;NO;Francisco Abellán;Fardes;58;19;0;0;0;
2018;7;Guadalquivir;NO;Fresneda;Fresneda;13;4;0;0;0;
2018;7;Guadalquivir;NO;Gergal;Rivera de Huelva;35;21;0;0;0;
2018;7;Guadalquivir;NO;Giribaile;Guadalimar;475;112;0;0;0;
2018;7;Guadalquivir;NO;Guadalén;Guadalén;168;33;0;13;1;
2018;7;Guadalquivir;NO;Guadalmellato;Guadalmellato;147;61;-1;13;4;
2018;7;Guadalquivir;NO;Guadalmena;Guadalmena;347;94;1;86;8;
2018;7;Guadalquivir;NO;Huesna;Rivera de Huesna;135;87;0;0;0;
2018;7;Guadalquivir;NO;Iznájar;Genil;981;290;3;279;23;
2018;7;Guadalquivir;NO;Jándula;Jándula;322;73;1;86;3;
2018;7;Guadalquivir;NO;José Torán;Guadalbarcar;113;35;0;0;0;
2018;7;Guadalquivir;NO;Martín Gonzalo;Martín Gonzalo;18;9;0;0;0;
2018;7;Guadalquivir;NO;Melonares, Los;Viar;186;131;1;0;0;
2018;7;Guadalquivir;NO;Minilla, La;Rivera de Huelva;58;46;0;0;0;
2018;7;Guadalquivir;NO;Montoro;Montoro;105;53;0;0;0;
2018;7;Guadalquivir;NO;Negratín;Guadiana Menor;567;206;1;45;11;
2018;7;Guadalquivir;NO;Pintado, El;Viar;213;86;-2;77;24;
2018;7;Guadalquivir;NO;Puebla de Cazalla;Carbones;74;14;0;0;0;
2018;7;Guadalquivir;NO;Puente Nuevo;Guadiato;282;97;-1;9;2;
2018;7;Guadalquivir;NO;Quéntar;Aguas Blancas;14;7;0;0;0;
2018;7;Guadalquivir;NO;Quiebrajano;Quiebrajano;32;7;0;4;3;
2018;7;Guadalquivir;NO;Retortillo;Retortillo;61;25;-1;2;1;
2018;7;Guadalquivir;NO;Rumblar;Rumblar;126;25;-1;16;3;
2018;7;Guadalquivir;NO;San Clemente;Guardal;118;10;0;0;0;
2018;7;Guadalquivir;NO;San Rafael de Navallana;Guadalmellato;157;52;0;0;0;
